Program ID,Program Name,Disease,Intervention,Year,Date,Cumulative QALYs,Annual QALYs
PD1,Continuous Ambulatory Peritoneal Dialysis,End-Stage Renal Disease,Peritoneal Dialysis,4,2023-06-24 19:02:23.997523,451.75,127.75
PD1,Continuous Ambulatory Peritoneal Dialysis,End-Stage Renal Disease,Peritoneal Dialysis,5,2024-06-23 19:02:23.997523,771.01,339.01
PD1,Continuous Ambulatory Peritoneal Dialysis,End-Stage Renal Disease,Peritoneal Dialysis,6,2025-06-23 19:02:23.997523,848.95,308.95
PD1,Continuous Ambulatory Peritoneal Dialysis,End-Stage Renal Disease,Peritoneal Dialysis,7,2026-06-23 19:02:23.997523,874.66,226.66
PD1,Continuous Ambulatory Peritoneal Dialysis,End-Stage Renal Disease,Peritoneal Dialysis,8,2027-06-23 19:02:23.997523,917.16,161.16
PD1,Continuous Ambulatory Peritoneal Dialysis,End-Stage Renal Disease,Peritoneal Dialysis,9,2028-06-22 19:02:23.997523,1162.03,298.03
PD1,Continuous Ambulatory Peritoneal Dialysis,End-Stage Renal Disease,Peritoneal Dialysis,10,2029-06-22 19:02:23.997523,1515.78,543.78
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,1,2020-06-24 19:02:23.997523,96.24,96.24
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,2,2021-06-24 19:02:23.997523,195.34,114.14
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,3,2022-06-24 19:02:23.997523,360.49,198.09
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,4,2023-06-24 19:02:23.997523,391.15,147.55
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,5,2024-06-23 19:02:23.997523,506.25,181.45
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,6,2025-06-23 19:02:23.997523,515.98,109.98
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,7,2026-06-23 19:02:23.997523,643.36,156.16
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,8,2027-06-23 19:02:23.997523,888.7,320.3
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,9,2028-06-22 19:02:23.997523,875.94,226.34
PD2,Automated Peritoneal Dialysis (APD),End-Stage Renal Disease,Peritoneal Dialysis,10,2029-06-22 19:02:23.997523,1049.64,318.84
