Program ID,Program Name,Disease,Intervention,Year,Date,Cumulative QALYs,Annual QALYs
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,5,2024-06-02 17:48:13.444732,860.77,290.85
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,6,2025-06-02 17:48:13.444732,1244.1,531.7
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,7,2026-06-02 17:48:13.444732,1339.89,485.01
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,8,2027-06-02 17:48:13.444732,1695.48,698.12
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,9,2028-06-01 17:48:13.444732,1644.15,504.31
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,10,2029-06-01 17:48:13.444732,2061.17,778.85
BP5,Beta Blockers,Hypertension,Beta Blockers,1,2020-06-03 17:48:13.444732,52.03,52.03
BP5,Beta Blockers,Hypertension,Beta Blockers,2,2021-06-03 17:48:13.444732,84.67,44.27
BP5,Beta Blockers,Hypertension,Beta Blockers,3,2022-06-03 17:48:13.444732,176.6,95.8
BP5,Beta Blockers,Hypertension,Beta Blockers,4,2023-06-03 17:48:13.444732,195.02,73.82
BP5,Beta Blockers,Hypertension,Beta Blockers,5,2024-06-02 17:48:13.444732,259.52,97.92
BP5,Beta Blockers,Hypertension,Beta Blockers,6,2025-06-02 17:48:13.444732,286.67,84.67
BP5,Beta Blockers,Hypertension,Beta Blockers,7,2026-06-02 17:48:13.444732,342.3,99.9
BP5,Beta Blockers,Hypertension,Beta Blockers,8,2027-06-02 17:48:13.444732,414.82,132.02
BP5,Beta Blockers,Hypertension,Beta Blockers,9,2028-06-01 17:48:13.444732,435.58,112.38
BP5,Beta Blockers,Hypertension,Beta Blockers,10,2029-06-01 17:48:13.444732,471.08,107.48
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,1,2020-06-03 17:48:13.444732,39.63,39.63
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,2,2021-06-03 17:48:13.444732,101.5,63.67
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,3,2022-06-03 17:48:13.444732,167.43,91.78
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,4,2023-06-03 17:48:13.444732,169.68,56.2
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,5,2024-06-02 17:48:13.444732,262.06,110.76
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,6,2025-06-02 17:48:13.444732,248.34,59.22
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,7,2026-06-02 17:48:13.444732,351.86,124.92
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,8,2027-06-02 17:48:13.444732,450.4,185.63
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,9,2028-06-01 17:48:13.444732,378.02,75.43
LDL1,Simvastatin ,Hypercholesterolemia,Simvastatin ,10,2029-06-01 17:48:13.444732,473.59,133.17
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,1,2020-06-03 17:48:13.444732,70.19,70.19
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,2,2021-06-03 17:48:13.444732,133.66,83.26
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,3,2022-06-03 17:48:13.444732,168.78,67.98
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,4,2023-06-03 17:48:13.444732,249.16,97.96
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,5,2024-06-02 17:48:13.444732,294.47,92.87
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,6,2025-06-02 17:48:13.444732,409.65,157.65
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,7,2026-06-02 17:48:13.444732,474.59,172.19
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,8,2027-06-02 17:48:13.444732,553.94,201.14
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,9,2028-06-01 17:48:13.444732,602.62,199.42
LDL2,Atorvastatin,Hypercholesterolemia,Atorvastatin,10,2029-06-01 17:48:13.444732,722.64,269.04
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,1,2020-06-03 17:48:13.444732,84.61,84.61
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,2,2021-06-03 17:48:13.444732,136.25,73.45
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,3,2022-06-03 17:48:13.444732,267.59,141.99
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,4,2023-06-03 17:48:13.444732,360.75,172.35
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,5,2024-06-02 17:48:13.444732,400.1,148.9
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,6,2025-06-02 17:48:13.444732,411.5,97.5
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,7,2026-06-02 17:48:13.444732,479.5,102.7
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,8,2027-06-02 17:48:13.444732,689.96,250.36
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,9,2028-06-01 17:48:13.444732,603.2,100.8
LDL3,Rosuvastatin,Hypercholesterolemia,Rosuvastatin,10,2029-06-01 17:48:13.444732,861.43,296.23
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,1,2020-06-03 17:48:13.444732,10.81,10.81
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,2,2021-06-03 17:48:13.444732,29.6,19.2
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,3,2022-06-03 17:48:13.444732,31.59,10.79
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,4,2023-06-03 17:48:13.444732,43.5,12.3
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,5,2024-06-02 17:48:13.444732,53.73,12.13
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,6,2025-06-02 17:48:13.444732,75.69,23.69
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,7,2026-06-02 17:48:13.444732,102.0,39.6
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,8,2027-06-02 17:48:13.444732,114.69,41.89
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,9,2028-06-01 17:48:13.444732,138.71,55.51
LDL4,Ezetimibe,Hypercholesterolemia,Ezetimibe,10,2029-06-01 17:48:13.444732,119.71,26.11
LDL5,Repatha,Hypercholesterolemia,Repatha,1,2020-06-03 17:48:13.444732,20.92,20.92
LDL5,Repatha,Hypercholesterolemia,Repatha,2,2021-06-03 17:48:13.444732,32.98,18.1
LDL5,Repatha,Hypercholesterolemia,Repatha,3,2022-06-03 17:48:13.444732,48.21,18.45
LDL5,Repatha,Hypercholesterolemia,Repatha,4,2023-06-03 17:48:13.444732,70.55,25.91
LDL5,Repatha,Hypercholesterolemia,Repatha,5,2024-06-02 17:48:13.444732,80.14,20.62
LDL5,Repatha,Hypercholesterolemia,Repatha,6,2025-06-02 17:48:13.444732,125.07,50.67
LDL5,Repatha,Hypercholesterolemia,Repatha,7,2026-06-02 17:48:13.444732,119.02,29.74
LDL5,Repatha,Hypercholesterolemia,Repatha,8,2027-06-02 17:48:13.444732,147.06,42.9
LDL5,Repatha,Hypercholesterolemia,Repatha,9,2028-06-01 17:48:13.444732,195.7,76.66
LDL5,Repatha,Hypercholesterolemia,Repatha,10,2029-06-01 17:48:13.444732,155.13,21.21
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,1,2020-06-03 17:48:13.444732,20.18,20.18
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,2,2021-06-03 17:48:13.444732,39.21,24.49
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,3,2022-06-03 17:48:13.444732,49.69,20.25
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,4,2023-06-03 17:48:13.444732,80.06,35.9
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,5,2024-06-02 17:48:13.444732,96.35,37.47
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,6,2025-06-02 17:48:13.444732,117.65,44.05
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,7,2026-06-02 17:48:13.444732,143.87,55.55
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,8,2027-06-02 17:48:13.444732,134.99,31.95
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,9,2028-06-01 17:48:13.444732,177.31,59.55
LDL6,Inclisiran,Hypercholesterolemia,Inclisiran,10,2029-06-01 17:48:13.444732,148.45,15.97
